log_id,table_name,record_id,action,performed_by,timestamp
a931a86a-9dd1-474f-9327-86ad4d398f50,transactions,0b6fe5a4-35ab-49c1-a5dd-f561b1c585dc,UPDATE,ADMIN,2026-02-14 17:43:23
182be8cb-a655-4460-a159-6c5555ada3fa,transactions,026d6464-8380-40ce-95c1-d9b38166173e,UPDATE,ADMIN,2026-04-05 22:06:45
3ff30e87-c6d2-4a73-a8c2-7f13504030a3,accounts,8d758f77-4bb8-4f42-af24-81c60860c350,UPDATE,ADMIN,2026-01-19 05:27:59
b0965fab-8ca2-48b6-925a-99098dcce8c1,cards,9bd40386-2c8e-44af-8ced-0a2170b6858e,INSERT,SYSTEM,2026-04-05 00:48:50
00380539-0ea7-4b6e-9be7-2ef31661f8ef,fraud_analysis,0fdf334e-9be0-4263-860e-f73b1721c0c9,DELETE,ADMIN,2026-02-21 20:43:24
11021786-8d4a-4804-974a-934eb3e31254,accounts,df14dc17-61c5-43b9-910f-fd635fe12860,DELETE,ADMIN,2026-03-31 04:28:58
002ad5c4-eb8f-40da-b702-7d29ac470cdf,transactions,0cb2a753-7d30-48b2-9ddb-ab65cac952af,UPDATE,ADMIN,2026-01-23 07:43:15
708cf4cc-e8cb-4fc0-99d3-87c7d80284ef,accounts,f092d374-0aff-475d-a3a5-2f525a17e416,UPDATE,SYSTEM,2026-02-23 21:04:27
310b3d5f-60ac-4039-b650-546907be35f5,transactions,fe0fa368-803a-4657-985f-65c1b0b6aee7,DELETE,ADMIN,2026-04-15 17:52:33
a4e91101-45a7-496f-bce0-f3e8081034d4,fraud_analysis,46bc7ffc-e682-4525-a34b-381dc604e122,INSERT,SYSTEM,2026-02-14 19:20:44
4c10d866-fc15-4457-a415-bc5cbc99cd2b,devices,7d9dd565-5a7f-4051-bd21-af3005b9ea9a,UPDATE,SYSTEM,2026-06-19 07:06:08
8f76a2a9-0554-4ad9-ad0b-1586ac853e80,devices,41215faf-0bc8-4d97-a676-5397ddb3b70e,UPDATE,ADMIN,2026-01-18 05:42:48
b60804c7-97a9-49ab-98e0-e5d5cb0516f0,accounts,8d3e6e77-6eee-4b01-99f6-5b1c7e460adf,DELETE,SYSTEM,2026-05-20 06:32:45
887a5733-0ec7-470f-b64a-733891156795,accounts,083703a5-16eb-46b9-b1d4-2c921602d4e4,INSERT,SYSTEM,2026-01-12 00:42:35
4e0b61f0-1e0c-4bd4-a0f0-ceceead2b708,accounts,e05b7959-f68b-4bac-bc46-71cf6bd38b1c,DELETE,ADMIN,2026-05-24 17:11:13
