device_id,customer_id,device_type,os,browser,ip_first_seen,last_seen,device_fingerprint
22683da3-95c5-476f-a4c6-d931caff448b,1943455f-6edd-4ed3-afa9-c2fd36f42205,Laptop,Windows,Chrome,172.97.238.123,2026-06-20,bb3d2b5267c980a2dad346544e136cc1d25c830fe753b8604623c6ce87175eb9
da5d37e3-ec8c-450b-a22d-b29d4574bbdb,b31f705b-a3f7-4e89-80ca-37f8de751e48,Laptop,macOS,Chrome,15.46.26.200,2026-06-12,1f2f2dec0599ee6b7acddf96818228cc083dfd1181fef50912a7051c8ed473dd
71386a74-898e-4366-ba8f-5c667da1c768,d5aa3216-9440-4bee-9b72-749f4955ccca,Mobile,Android,Chrome,149.145.163.131,2026-02-03,38b1d9e45c9826e546d17ef331b7a4c97faeca581ab44a654c55894922c692af
aeb9b352-b5f0-4cda-81ef-428763eba368,6989bfa0-cb33-47b5-a14f-e36949cebe6f,Mobile,Android,Chrome,134.51.2.229,2026-02-07,74cd1020aa4a53b6588e730a3b59a6223d2609f5f6a48f4c33b667fb36de3259
27f5d873-832a-48a7-bc0a-dd3e25e3a8dc,8b9184ae-c237-4840-a091-8cce5ccf0f6e,Mobile,Android,Chrome,45.52.78.25,2026-01-19,3b355bce71f46ac2d2dac4e3954e6b448964146caea0a62a00e38dfaefa19f81
caae7669-bb4c-4ced-8f8f-329c78339d05,f752713f-be98-4086-ab23-8a7343a726fe,Mobile,Android,Chrome,145.103.118.198,2026-05-08,1aaa6a201bf29cbb5d636dcfa221d37b997cab076ef5dd16ed5c5c06f953b36d
3e9ae9a2-0a29-4c53-9257-5385bd6b28fc,d6cb7fdb-012a-44af-b17a-6ad6510f5936,Mobile,iOS,Safari,209.108.81.201,2026-05-19,fa0b31c0878107a82d7335e58b43c829db1a23d2e804cdbee040577a06009015
f2c31aef-ca76-4e41-aff7-dca4414400b8,31219718-bfce-458b-ab31-ffb363a53e28,Mobile,Android,Safari,58.37.43.87,2026-06-17,d70f76e049a635fab661c4f18ddc1fe82ce9b1d8a465acc151ee605f63f6d324
5f4887f5-7958-4117-85dc-e08687293313,ebc3f31c-09f5-41fc-baa8-946abc5163d9,Mobile,Android,Safari,42.132.61.74,2026-06-04,342fbff24baf7649019eff827b87512d981b902248c089c82e9816050e16688f
bc2ace02-99e3-43fc-8d30-9a60032c633d,4aad66dd-8e5c-4b55-9147-9e508d10f200,Mobile,Android,Safari,129.177.86.85,2026-01-04,be90a8471a28b6187a1351bec7fc028733023eb2719de62fe7aab6cea1eac63b
fa527fc8-3ed9-4d7a-9d4d-5bb45623bc00,fb1ef84f-29c0-4aed-be7f-8e3a8944009f,Mobile,Android,Chrome,49.64.29.72,2026-01-30,509a6b463a267b9dc27ea64ed235633c9cb96afe11b67576da6a7599289a4a01
2defbcfa-53c7-4053-a194-ccb6c133b15c,3e8f7512-f139-4e71-bf35-11fe82a00d71,Mobile,Android,Chrome,206.125.167.119,2026-03-03,4719029cb6687c19ec87a9a0cc3c01bf18b5234d023629dd452cef19499f0310
d101c4ba-d37d-4555-bef4-91c0cd69d0c8,61469841-77e6-48cb-88e0-1cddddda1eca,Laptop,Windows,Firefox,190.114.195.242,2026-03-25,dd0272967d396f996a4fb696ee406f8dc232889b8d189ee2f6e274545614dc3a
e0c53eb5-0468-477d-8663-90475f894e35,b38f6c47-f4b2-4e8a-89c8-5862ba4e5d79,Mobile,Android,Chrome,76.28.206.43,2026-05-09,91fe0fd8d2f04475f3950a352e1195cacf4ceed6553e473395c6df9e1bfda578
795bd46d-6eb9-4455-ac72-670b37f924d3,bed718e1-5af0-415e-baaa-8cdf7ca64dfc,Mobile,Android,Chrome,56.113.195.132,2026-02-24,fa89b961e759e076ab5a5cec7fafd3139158fa036c507c438a9ea67923efe205
fca05fd0-b882-4071-9b46-f9ac6248af53,0e8d09bc-a2d1-436e-a234-afbc95c205e3,Laptop,Windows,Chrome,151.224.1.213,2026-01-10,748faec27ff613213517b11e53fe5b5a820ece007f707a1a0066093e892ceda1
1a2b09be-0dd9-404d-8cd4-ad0429edfbc8,80413042-465d-4358-a250-a103d4acb448,Mobile,Android,Firefox,218.188.254.86,2026-06-16,b85a70012814d9798eec7aeacc84f55fa29ba76c9ab089a234b281288591b8d3
3cb43cc7-2b21-460d-b418-bfb94e2fe932,b822f319-2057-4c21-b089-48fe0e9b8c18,Mobile,Android,Chrome,189.167.39.109,2026-03-17,90038283d1d3c6d88431815206b3c239728072889d0fe86aa6709e40bbb07c75
97b5483c-a78e-4919-b68d-3e69910e2086,1f050414-c2a4-4e33-8fdc-e842d559c4cf,Mobile,Android,Safari,44.234.148.203,2026-05-18,96ee2ae3d64014ef1f7b8110b897643e80852cfdb512f332f544dfd910ef21d0
65b0eeb4-2db6-49ce-8ddb-c118f9236518,7c74cc3c-089a-4c55-9647-64f6b281dd6a,Mobile,Android,Chrome,162.61.183.35,2026-05-11,0e6e76032b53827fbc62f6a6efbfbbd3d107190e8da698c99f3a72ec899eb642
5905314e-c96a-42f5-9343-781876de682c,5f600cca-44c8-4de6-9234-d993a05079dc,Laptop,Windows,Chrome,204.12.171.72,2026-02-13,34c8b8ac6c40c018e62f5c3611bc89e6c6a0d91740dd8019e9f427f8e7832a42
bd355ebb-4ae4-425e-b8ac-0d3f6eea76bd,8d269a9f-bb06-4da9-bf99-1c4d553b9ece,Tablet,Android,Edge,141.249.21.218,2026-06-01,81d39d0c84bf8a38d6ea7c1bde2f1838ff43fb0392ae12d5e1292e8181867bfc
3d2cbbc2-4831-42c8-9098-31addfc466e1,d41b2711-6e83-438c-990c-5443889241b2,Tablet,Android,Chrome,31.99.129.218,2026-02-22,e3129704b66d4e53f841d550c0fef1b29c2e5dd2e4ad90a96ad7d3fa63ebeca7
2eb1a086-08bd-4708-9aa2-2af64c8e20a8,2fe8401c-1a35-41c7-8cb8-0abab8b91d52,Laptop,Windows,Chrome,75.136.8.246,2026-05-14,c2fdbbcc50e43c6371f439e88a12d33947d03d4abf4f8b4ebd5300d7f6cf631e
a38b81b8-4116-43f0-90ee-38a0d0b10f42,5ec59d34-3437-4263-8cb5-59624615235f,Tablet,iPadOS,Chrome,10.232.73.63,2026-02-21,3819cc9e35c2ade51bc893832bfe8d8be403797acec13f2cbcb5b62fb53ae575
ffd8f5bb-a230-453e-8a9f-efbe70486a96,ef6adbe4-1a21-48b0-9b56-6d14715e1089,Mobile,iOS,Chrome,79.197.194.185,2026-02-23,85b4460a0d16dc8c9f298738c7d1367e6b22de8c6d41367f11ce0c53d1aa9511
907039ca-b05d-4af3-b14a-fb737acb3e87,5f600cca-44c8-4de6-9234-d993a05079dc,Mobile,Android,Safari,174.2.192.181,2026-05-14,7f898709a54b5c931cbb0a529c894f570ef219e414642e92dd078c556fb940af
1e07864b-6776-406f-92b4-4659d981cfd1,366a0080-29bb-499b-bb85-f6d5da534ce7,Mobile,Android,Chrome,196.227.180.49,2026-04-23,f8d7ae3b8cf0f5ee0afe361dfe00a1eb2343a623d5d6f152c73474af47cd4c4c
fff2b50e-4ad3-423a-8d41-a0f0483b30fe,bc53c5f7-3e22-4ea8-b126-faa4d651d00c,Mobile,Android,Chrome,5.31.175.255,2026-01-17,57a9ed570b448ac11019b886bcbfccbe5ae290f644cc7bfbb73c498689f1fcad
ae7f282c-10fd-499d-86de-f49b7485c853,db877f12-588c-4e75-a323-b770b6295710,Mobile,Android,Edge,9.134.139.183,2026-01-05,6660910681f145fd83de1be71827d97884681b98e7d5db85987c2d276aaf6329
c809d083-7759-425c-8dd6-5f7b6504f568,350038d5-2cd1-4c3e-a835-48c0ebaff5d9,Mobile,Android,Chrome,213.246.73.193,2026-04-18,42e75e7698a8e101a2d3fd00380a99d9b593dbced1843ca6a468bf65bdf3d0ad
f5028d08-30ea-4fc6-acd9-75f67f243cb2,05393011-2e21-4478-b543-0ab109c98295,Mobile,Android,Chrome,38.95.120.252,2026-03-05,9261c7ef3dfdd697326fc639333085b181c42c86435328680648b1d0b5df325f
e613d422-2b12-4c54-9d2a-5494c78efdf3,d90f636e-0331-4b5e-8c46-0df19418e766,Mobile,iOS,Chrome,219.205.126.118,2026-05-25,e736b015e06b4d3ec9b3ec9c2b7766a9f9d0d55e4187ffe2c76b1afdc8878662
